Sample_ID,Plant_Material,UV_Visible,SEM,TEM,EDAX,XRD,Particle_Size,Antifungal_Activity,Antibacterial_Activity,Antioxidant_Activity,Anti_Inflammatory_Activity
1,Smilax Zeylanica leaves,615.25,39.04,6.35,94.99,28.3,66.68,1,0,1,0
2,Smilax Zeylanica leaves,759.89,11.61,3.13,61.7,56.42,66.26,1,0,1,1
3,Smilax Zeylanica leaves,530.21,26.51,8.95,8.17,28.24,60.1,1,0,0,0
4,Smilax Zeylanica leaves,260.64,83.95,2.67,56.77,75.92,74.71,0,1,1,1
5,Smilax Zeylanica leaves,538.49,20.62,6.83,17.77,77.71,84.45,1,0,0,1
6,Smilax Zeylanica leaves,484.67,97.84,8.27,12.76,65.21,24.25,0,1,0,1
7,Smilax Zeylanica leaves,261.61,71.89,7.97,38.2,30.01,76.83,0,1,0,0
8,Smilax Zeylanica leaves,723.36,16.25,9.95,29.89,59.55,53.37,1,0,0,1
9,Smilax Zeylanica leaves,347.26,10.41,7.49,39.5,35.51,19.73,0,0,0,0
10,Smilax Zeylanica leaves,415.47,44.38,4.45,30.83,76.92,62.55,0,0,0,1
11,Smilax Zeylanica leaves,741.59,31.14,5.8,35.01,73.4,19.79,1,0,0,1
12,Smilax Zeylanica leaves,522.83,65.24,9.55,0.69,41.73,18.26,1,1,0,0
13,Smilax Zeylanica leaves,526.64,68.84,4.49,31.61,71.51,38.25,1,1,0,1
14,Smilax Zeylanica leaves,780.56,23.16,6.3,83.14,33.43,62.38,1,0,1,0
15,Smilax Zeylanica leaves,210.26,66.07,5.52,14.55,59.18,71.32,0,1,0,1
16,Smilax Zeylanica leaves,593.86,45.98,3.06,24.19,35.9,7.93,1,0,0,0
17,Smilax Zeylanica leaves,686.98,68.52,7.74,23.4,28.82,42.72,1,1,0,0
18,Smilax Zeylanica leaves,757.47,59.86,7.6,47.6,60.99,11.37,1,1,0,1
19,Smilax Zeylanica leaves,471.98,62.86,8.86,86.94,21.36,85.96,0,1,1,0
20,Smilax Zeylanica leaves,292.24,31.79,9.92,75.21,27.67,78.68,0,0,1,0
21,Smilax Zeylanica leaves,564.03,86.28,1.66,16.81,58.27,18.61,1,1,0,1
